"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"33",0.219109,0.215905,0.322538,0.303061,0.311871,0.310664,0.352246,0.420814,0.149012,0.17269,0.194486,0.240976,0.213178,0.2635,0.293394,0.435891,0.133221,0.156054,0.150259,0.195622,0.186011,0.262069,0.239259,0.419951,0.157596,0.172815,0.195365,0.212904,0.197272,0.255348,0.399172,0.600889,0.253528,0.252174,0.301207,0.281077,0.366831,0.345542,0.411957,0.513722
"34",0.263304,0.265857,0.263215,0.267697,0.317326,0.286515,0.473323,0.6482,0.145629,0.150684,0.190875,0.235747,0.214957,0.298936,0.26855,0.463981,0.129692,0.147292,0.161837,0.228598,0.173604,0.237503,0.235985,0.438738,0.145207,0.155953,0.191062,0.212775,0.222748,0.269742,0.259939,0.37497,0.30655,0.321095,0.396093,0.387362,0.350614,0.330825,0.469537,0.523785
"35",0.223813,0.250873,0.304146,0.298278,0.342976,0.32099,0.303137,0.316069,0.151687,0.175189,0.166833,0.194681,0.204816,0.250602,0.236629,0.344994,0.131473,0.146981,0.157229,0.201767,0.178172,0.260249,0.235901,0.460374,0.162908,0.183918,0.180002,0.211129,0.295836,0.399448,0.335032,0.519421,0.327095,0.33769,0.2814,0.281734,0.294298,0.283582,0.366034,0.414003
"36",0.256382,0.355269,0.319754,0.308331,0.377071,0.37192,0.414313,0.429257,0.149264,0.159056,0.173074,0.19103,0.224442,0.288983,0.263348,0.402116,0.131341,0.152045,0.148164,0.183916,0.16855,0.238339,0.212691,0.354393,0.167502,0.191623,0.179295,0.200155,0.203203,0.258868,0.43455,0.700832,0.302279,0.357867,0.333729,0.359619,0.340719,0.32843,0.836807,0.980167
"37",0.238004,0.253181,0.278951,0.260622,0.253138,0.26649,0.514716,0.570398,0.164077,0.179591,0.179153,0.218323,0.21698,0.270076,0.229677,0.319102,0.135722,0.169735,0.151739,0.186648,0.1715,0.248392,0.228268,0.422785,0.150008,0.1697,0.19237,0.22291,0.213374,0.293721,0.278062,0.461136,0.285252,0.26546,0.274584,0.257239,0.365046,0.352288,0.385039,0.470803
"38",0.267563,0.271648,0.238097,0.26249,0.351986,0.366373,0.458576,0.573909,0.168175,0.196667,0.20114,0.250133,0.199467,0.277708,0.234388,0.37483,0.131363,0.154352,0.144531,0.183464,0.190252,0.299714,0.215189,0.372141,0.161242,0.164581,0.18226,0.209584,0.189242,0.223781,0.321026,0.503364,0.269371,0.303432,0.279457,0.254946,0.291867,0.311833,0.443513,0.587239
"39",0.286739,0.318231,0.288411,0.287157,0.328394,0.305677,0.422778,0.485332,0.165033,0.181376,0.179633,0.214979,0.20522,0.248718,0.37503,0.705351,0.133034,0.155738,0.148644,0.188278,0.158023,0.205286,0.21498,0.327309,0.162171,0.188162,0.208933,0.26915,0.232874,0.296651,0.278453,0.434967,0.231126,0.210189,0.279154,0.254491,0.302066,0.284106,0.444761,0.539672
"40",0.276121,0.36915,0.298397,0.307683,0.255051,0.257259,0.405695,0.538965,0.153703,0.169099,0.193405,0.215101,0.179299,0.223822,0.327547,0.532318,0.135234,0.154348,0.1599,0.214594,0.197489,0.300309,0.20964,0.344681,0.148912,0.164738,0.186551,0.22233,0.209603,0.26,0.270951,0.3618,0.257377,0.263799,0.267723,0.262773,0.397931,0.384148,0.443081,0.503342
"41",0.240147,0.25189,0.314181,0.27353,0.322613,0.334755,0.296262,0.349315,0.165308,0.180174,0.182908,0.221289,0.164357,0.191944,0.285141,0.443164,0.134327,0.157336,0.142823,0.17599,0.163848,0.216063,0.232567,0.39314,0.159882,0.161798,0.185173,0.214827,0.226669,0.269932,0.273235,0.394315,0.265919,0.256674,0.336106,0.297493,0.30554,0.305036,1.02548,1.14378
"42",0.184355,0.19117,0.316804,0.303128,0.303289,0.320537,0.50271,0.619139,0.151949,0.165926,0.168593,0.196323,0.215532,0.245399,0.308324,0.484685,0.128441,0.143836,0.150038,0.185119,0.166527,0.227436,0.240354,0.443728,0.160254,0.177759,0.184002,0.206165,0.187168,0.226727,0.25403,0.386819,0.220725,0.250018,0.30793,0.315749,0.439466,0.425075,0.551029,0.663395
"43",0.264391,0.218581,0.253696,0.24845,0.423425,0.439035,0.369875,0.444061,0.152072,0.159783,0.187139,0.235995,0.239121,0.336007,0.258891,0.419967,0.12988,0.152346,0.142051,0.18438,0.149252,0.207755,0.252848,0.567587,0.157416,0.164239,0.18457,0.242285,0.211877,0.259517,0.222167,0.324014,0.216284,0.197023,0.241363,0.220202,0.228816,0.250061,0.381,0.468331
"44",0.232965,0.221074,0.342328,0.322595,0.259603,0.25462,0.534971,0.723607,0.147326,0.163803,0.172203,0.202447,0.234647,0.301816,0.290222,0.418258,0.128473,0.148267,0.146045,0.180589,0.164734,0.223906,0.222945,0.367477,0.162867,0.191433,0.189831,0.208304,0.192204,0.234217,0.369932,0.589315,0.232267,0.244019,0.376668,0.390206,0.351278,0.355041,0.277962,0.308503
"45",0.417061,0.402753,0.351036,0.370118,0.37127,0.370482,0.54393,0.626995,0.151106,0.164079,0.166203,0.192818,0.214916,0.274561,0.303489,0.461702,0.126609,0.147807,0.147663,0.203859,0.170168,0.243759,0.211137,0.339731,0.15757,0.174147,0.189433,0.200936,0.185857,0.223255,0.318526,0.505791,0.334384,0.312494,0.287102,0.25818,0.276806,0.285924,0.42795,0.587057
"46",0.262397,0.318347,0.255629,0.25876,0.283993,0.286488,0.324248,0.387994,0.152957,0.166149,0.171768,0.19088,0.208575,0.272273,0.279106,0.448586,0.127722,0.144868,0.149436,0.19994,0.169301,0.247513,0.192196,0.305805,0.164564,0.187125,0.179552,0.219013,0.236915,0.285025,0.372124,0.579552,0.248529,0.239218,0.297723,0.273998,0.362112,0.344143,0.408995,0.440652
"47",0.286583,0.282193,0.268585,0.265356,0.226941,0.253635,1.18893,1.32327,0.174575,0.184266,0.20769,0.247125,0.207015,0.241969,0.280555,0.433666,0.136371,0.159638,0.165387,0.213581,0.172108,0.231294,0.30618,0.753111,0.147297,0.172528,0.178533,0.197155,0.261606,0.331809,0.231651,0.342558,0.234634,0.334607,0.22384,0.21937,0.250368,0.269293,0.399177,0.522513
"48",0.244408,0.285732,0.317779,0.34697,0.400582,0.419288,0.481993,0.63237,0.162127,0.173409,0.193197,0.232598,0.219879,0.304318,0.20217,0.297246,0.134457,0.162689,0.150563,0.187826,0.20506,0.346421,0.25007,0.442349,0.200504,0.21315,0.199278,0.210464,0.201314,0.247618,0.379497,0.558005,0.228389,0.294959,0.352098,0.371658,0.29319,0.287341,0.451165,0.527286
"49",0.220994,0.202927,0.244958,0.243952,0.379754,0.344173,0.4317,0.46198,0.138165,0.152657,0.212283,0.229779,0.210699,0.261828,0.26872,0.393631,0.133884,0.150387,0.153275,0.189588,0.184043,0.263649,0.242962,0.422998,0.152228,0.163319,0.174257,0.214643,0.21275,0.293463,0.237931,0.407115,0.252009,0.240335,0.274196,0.29159,0.370741,0.38691,0.309107,0.415051
"50",0.248703,0.277276,0.456851,0.396927,0.382271,0.354847,0.857446,0.952906,0.16729,0.197865,0.167584,0.209213,0.21173,0.275045,0.248269,0.377213,0.13153,0.156961,0.139092,0.173999,0.169326,0.260984,0.205233,0.369229,0.163351,0.182165,0.203215,0.229423,0.186312,0.234603,0.264065,0.42328,0.235989,0.236217,0.242416,0.241523,0.261275,0.257739,0.304428,0.33938
"51",0.256014,0.271695,0.34806,0.302978,0.272745,0.2884,0.338315,0.426667,0.168946,0.185983,0.198371,0.221331,0.232732,0.276347,0.275363,0.441466,0.129369,0.155894,0.14357,0.171385,0.153409,0.189501,0.293664,0.702524,0.142793,0.152211,0.187134,0.219189,0.178241,0.222681,0.240419,0.349976,0.291152,0.334547,0.344127,0.290544,0.304902,0.319403,0.279184,0.33845
"52",0.276949,0.250658,0.324333,0.310007,0.416406,0.404011,0.351479,0.408233,0.164503,0.171373,0.188392,0.217337,0.252994,0.3261,0.398561,0.716269,0.12732,0.13722,0.15797,0.196308,0.169846,0.240134,0.258193,0.512051,0.182453,0.20071,0.156253,0.194614,0.185567,0.240962,0.298707,0.486901,0.313683,0.299277,0.327787,0.311643,0.267406,0.292965,0.481477,0.614423
"53",0.246982,0.249786,0.298301,0.295283,0.325056,0.360162,0.383523,0.504331,0.168317,0.175467,0.19166,0.249377,0.199415,0.248599,0.245325,0.409182,0.128666,0.149328,0.165878,0.217824,0.170398,0.21337,0.239809,0.42719,0.161897,0.164254,0.191947,0.224014,0.260122,0.32882,0.278913,0.420692,0.207809,0.218447,0.339845,0.323654,0.304335,0.316727,0.417797,0.472571
"54",0.275941,0.31238,0.300985,0.31335,0.345619,0.319421,0.406365,0.433692,0.153973,0.187721,0.178318,0.208627,0.232842,0.275649,0.286208,0.422545,0.130557,0.154679,0.14357,0.170772,0.158132,0.220246,0.226326,0.374245,0.161219,0.197079,0.167252,0.200186,0.226977,0.310322,0.264968,0.442792,0.237835,0.247906,0.287803,0.297568,0.285791,0.314882,0.450804,0.550972
"55",0.262387,0.258463,0.332868,0.325603,0.259373,0.256667,0.707541,0.766912,0.166487,0.193105,0.181773,0.205396,0.202601,0.265303,0.304065,0.463983,0.12839,0.15142,0.139509,0.178514,0.179635,0.270653,0.20657,0.33209,0.143185,0.14896,0.181565,0.224973,0.195475,0.250573,0.275998,0.524391,0.260059,0.288355,0.268876,0.263661,0.331886,0.357081,0.383121,0.463001
"56",0.270443,0.297163,0.307838,0.310902,0.286247,0.308317,0.526468,0.625811,0.18211,0.189521,0.192122,0.228521,0.215539,0.276221,0.217801,0.334311,0.133246,0.162247,0.149995,0.201425,0.168596,0.253626,0.217172,0.405477,0.146658,0.156937,0.170769,0.197317,0.209547,0.28045,0.389903,0.663933,0.238037,0.278235,0.292974,0.297582,0.294236,0.280177,0.329572,0.387824
"57",0.212842,0.235136,0.268035,0.264123,0.504881,0.477521,0.310635,0.358582,0.150486,0.160878,0.1623,0.182885,0.184537,0.258644,0.248684,0.350032,0.127132,0.143089,0.161641,0.228196,0.177325,0.271242,0.225452,0.414982,0.153353,0.162744,0.187977,0.203477,0.207793,0.256347,0.231698,0.321414,0.259684,0.348438,0.287977,0.274067,0.405582,0.413357,0.449494,0.582852
"58",0.243662,0.273068,0.231757,0.223547,0.473692,0.478577,0.492736,0.582921,0.157128,0.165012,0.170905,0.202906,0.182176,0.211317,0.268049,0.435465,0.129292,0.150307,0.15152,0.19279,0.17806,0.269766,0.217537,0.418273,0.150915,0.181834,0.183987,0.201183,0.210183,0.243827,0.233805,0.338315,0.260479,0.256219,0.311017,0.274707,0.358266,0.346641,0.42941,0.512991
"59",0.2319,0.269907,0.282577,0.28091,0.338461,0.330993,0.406841,0.492927,0.185387,0.196094,0.17657,0.199659,0.211578,0.250457,0.275655,0.45835,0.130196,0.149772,0.153053,0.189386,0.173274,0.24274,0.218217,0.372243,0.154472,0.16687,0.167303,0.19905,0.222988,0.268577,0.316617,0.523046,0.272669,0.252057,0.248301,0.254337,0.452869,0.438871,0.5425,0.603748
